IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
47.79.94.130,47.79.94.130,*.6523635.top,"Let's Encrypt",N/A
47.79.94.119,47.79.94.119,6692200.vip,"Leocert LLC",N/A
47.79.94.113,47.79.94.113,claw.mooncn.net,"Let's Encrypt",N/A
47.79.94.66,47.79.94.66,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.94.64,47.79.94.64,eua.inc,"Inc",N/A
47.79.94.36,47.79.94.36,47.79.94.36,"广东堡塔安全技术有限公司",N/A
47.79.94.20,47.79.94.20,vvvv-docs.kern123.top,"Let's Encrypt",N/A
47.79.93.245,47.79.93.245,claw.lralph.top,"Let's Encrypt",N/A
47.79.93.237,47.79.93.237,Cloudflare,"Cloudflare, Inc.",N/A
47.79.93.229,47.79.93.229,*.6523635.top,"Let's Encrypt",N/A
47.79.93.182,47.79.93.182,claw.gummybears.top,"Let's Encrypt",N/A
47.79.93.188,47.79.93.188,*.megadataocean.com,"Sectigo Limited",N/A
47.79.93.191,47.79.93.191,gspe19-ssl.ls.apple.com,"Apple Inc.",N/A
47.79.94.10,47.79.94.10,cn.karuizawa-hds.com,"Let's Encrypt",N/A
47.79.93.118,47.79.93.118,localhost,"FIT2CLOUD",N/A
47.79.93.110,47.79.93.110,chat.onewater.run,"Let's Encrypt",N/A
47.79.93.104,47.79.93.104,ddz.9bb.top,"Let's Encrypt",N/A
47.79.93.96,47.79.93.96,chuantou.men,"Let's Encrypt",N/A
47.79.93.168,47.79.93.168,spacepower365.com,"Let's Encrypt",N/A
47.79.93.90,47.79.93.90,cctv.20140614.xyz,"Let's Encrypt",N/A
47.79.93.73,47.79.93.73,www.xpan.xyz,"Let's Encrypt",N/A
47.79.93.65,47.79.93.65,pinglintea.com.tw,"Let's Encrypt",N/A
47.79.93.64,47.79.93.64,47.79.93.64,"ZeroSSL",N/A
47.79.93.55,47.79.93.55,jp.mcjoker.xyz,"Let's Encrypt",N/A
47.79.93.25,47.79.93.25,boyernews.com,"Google Trust Services LLC",N/A
47.79.93.16,47.79.93.16,cq.911611.xyz,"Let's Encrypt",N/A
47.79.93.8,47.79.93.8,linghu.im,"Let's Encrypt",N/A
47.79.93.2,47.79.93.2,669xk.vip,"Let's Encrypt",N/A
47.79.92.244,47.79.92.244,ESA Client Certificate,"Alibaba Cloud",N/A
47.79.92.243,47.79.92.243,kjasdnfia.loveyuebao951127.top,"Let's Encrypt",N/A
47.79.92.224,47.79.92.224,localhost,"FIT2CLOUD",N/A
47.79.92.230,47.79.92.230,blog.tangzijie.top,"Let's Encrypt",N/A
47.79.92.216,47.79.92.216,47.79.92.216,"ZeroSSL",N/A
47.79.92.208,47.79.92.208,apply.mfdh.link,"Let's Encrypt",N/A
47.79.92.201,47.79.92.201,bbs.exqw.com,"Let's Encrypt",N/A
47.79.92.198,47.79.92.198,jp.246810.best,"Let's Encrypt",N/A
47.79.92.193,47.79.92.193,*.6523635.top,"Let's Encrypt",N/A
47.79.92.197,47.79.92.197,47.79.92.197,"ZeroSSL",N/A
47.79.92.184,47.79.92.184,open.musicses.army,"Let's Encrypt",N/A
47.79.92.182,47.79.92.182,www.mzp.mom,"Let's Encrypt",N/A
47.79.92.174,47.79.92.174,tbaoo.top,"Let's Encrypt",N/A
47.79.92.254,47.79.92.254,yahoo.com,"DigiCert Inc",N/A
47.79.92.117,47.79.92.117,tokyo.ceiler2c.top,"Let's Encrypt",N/A
47.79.92.116,47.79.92.116,*.cirnoq.xyz,"Cosmos Personal Server CA MddVB",N/A
47.79.92.56,47.79.92.56,egame.eastsoft.cc,"Let's Encrypt",N/A
47.79.92.176,47.79.92.176,47.79.92.176,"ZeroSSL",N/A
47.79.92.111,47.79.92.111,proxy1.cleanbug.cn,"Let's Encrypt",N/A
47.79.92.40,47.79.92.40,pinglintea.com.tw,"Let's Encrypt",N/A
47.79.92.39,47.79.92.39,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.92.97,47.79.92.97,wduanni.cc,"Let's Encrypt",N/A
47.79.92.92,47.79.92.92,shop.defiusdt.top,"Let's Encrypt",N/A
47.79.92.91,47.79.92.91,cvc.ynd777.cc,"Let's Encrypt",N/A
47.79.92.84,47.79.92.84,node-clawcloud-jp-a1.797999.xyz,"Let's Encrypt",N/A
47.79.92.37,47.79.92.37,localhost,"FIT2CLOUD",N/A
47.79.92.34,47.79.92.34,ch.272277.xyz,"Let's Encrypt",N/A
47.79.92.73,47.79.92.73,47.79.92.73,"FIT2CLOUD",N/A
47.79.92.16,47.79.92.16,*.alicdn.com,"GlobalSign nv-sa",N/A
47.79.92.47,47.79.92.47,en.berlt.com,"DigiCert Inc",N/A
47.79.92.4,47.79.92.4,api.gkkdma.club,"Let's Encrypt",N/A
47.79.91.247,47.79.91.247,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.92.53,47.79.92.53,imimi.im,"Let's Encrypt",N/A
47.79.92.18,47.79.92.18,reroute443.microsoft.com,"Microsoft Corporation",N/A
47.79.92.60,47.79.92.60,yahoo.com,"DigiCert Inc",N/A
47.79.91.230,47.79.91.230,acemobileapps.net,"DigiCert Inc",N/A
47.79.91.251,47.79.91.251,noploop.com,"Let's Encrypt",N/A
47.79.91.204,47.79.91.204,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.91.192,47.79.91.192,ws-safeau.com,"Let's Encrypt",N/A
47.79.91.189,47.79.91.189,localhost,"FIT2CLOUD",N/A
47.79.91.183,47.79.91.183,km.3328.us.kg,"Let's Encrypt",N/A
47.79.91.169,47.79.91.169,alist.feddit.social,"Let's Encrypt",N/A
47.79.91.162,47.79.91.162,srap.link,"ZeroSSL",N/A
47.79.91.122,47.79.91.122,cloudoai.com,"Let's Encrypt",N/A
47.79.91.99,47.79.91.99,cloudflare-dns.com,"DigiCert Inc",N/A
47.79.91.106,47.79.91.106,no-sni.vercel-infra.com,"Let's Encrypt",N/A
47.79.91.63,47.79.91.63,jp1.323300.xyz,"Let's Encrypt",N/A
47.79.92.157,47.79.92.157,octo-bus.xyz,"Let's Encrypt",N/A
47.79.92.150,47.79.92.150,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.92.165,47.79.92.165,*.alicdn.com,"GlobalSign nv-sa",N/A
47.79.91.40,47.79.91.40,n.sni-347-default.ssl.fastly.net,"GlobalSign nv-sa",N/A
47.79.91.39,47.79.91.39,ciao.endouhotaru.ip-ddns.com,"ZeroSSL",N/A
47.79.91.27,47.79.91.27,claw.jp.runrm.com,"Let's Encrypt",N/A
47.79.91.17,47.79.91.17,Common Name,"Organization",N/A
47.79.91.105,47.79.91.105,jp.5288.ru,"Let's Encrypt",N/A
47.79.91.3,47.79.91.3,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.91.85,47.79.91.85,jwn8n.mmtker.com,"Let's Encrypt",N/A
47.79.91.70,47.79.91.70,claw.joye0721.xyz,"Let's Encrypt",N/A
47.79.90.253,47.79.90.253,localhost,"FIT2CLOUD",N/A
47.79.90.249,47.79.90.249,localhost,"FIT2CLOUD",N/A
47.79.91.5,47.79.91.5,yahoo.com,"DigiCert Inc",N/A
47.79.90.245,47.79.90.245,yahoo.com,"DigiCert Inc",N/A
47.79.90.227,47.79.90.227,Zoraxy Self-host,"imuslab.com",N/A
47.79.90.226,47.79.90.226,Lucky,"lucky666CN",N/A
47.79.90.219,47.79.90.219,localhost,"FIT2CLOUD",N/A
47.79.90.217,47.79.90.217,stackboom.net,"Let's Encrypt",N/A
47.79.90.204,47.79.90.204,hateblo.jp,"Let's Encrypt",N/A
47.79.91.8,47.79.91.8,bba.lol,"Let's Encrypt",N/A
47.79.90.197,47.79.90.197,www.hashcat.jp,"Sectigo Limited",N/A
47.79.90.193,47.79.90.193,bsvgo.com,"Let's Encrypt",N/A
47.79.90.180,47.79.90.180,www.xn--e1axb7f.com,"Let's Encrypt",N/A
47.79.90.177,47.79.90.177,chat.gtio.work,"TrustAsia Technologies, Inc.",N/A
47.79.90.176,47.79.90.176,Common Name,"Organization",N/A
47.79.90.175,47.79.90.175,*.cd.rhinelt.icu,"Let's Encrypt",N/A
47.79.90.172,47.79.90.172,*.shinso.me,"Let's Encrypt",N/A
47.79.90.150,47.79.90.150,cloudflare-dns.com,"DigiCert Inc",N/A
47.79.90.135,47.79.90.135,coin.zimuquan.uk,"Let's Encrypt",N/A
47.79.90.131,47.79.90.131,clawjp7xui.uuiu.de,"Let's Encrypt",N/A
47.79.90.118,47.79.90.118,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
